Area, MajorAxisLength, MinorAxisLength, Eccentricity, ConvexArea, FilledArea, EulerNumber, EquivDiameter, Solidity, Perimeter, Intensity, X, Y, IsTopEdge, IsBottomEdge, IsLeftEdge, IsRightEdge, IsNucleus, IsOverSeg, IsUnderSeg, 
26, 1.001748e+01, 4.153501e+00, 9.099923e-01, 32, 26, 1, 5.753627e+00, 8.125000e-01, 2.531371e+01, 6.338598e-02, 2.769231e+00, 3.853846e+02, 0, 0, 1, 0, 1, 0, 0, 
331, 2.548084e+01, 1.701027e+01, 7.445459e-01, 339, 331, 1, 2.052906e+01, 9.764012e-01, 7.052691e+01, 9.240864e-01, 8.734139e+00, 4.062749e+02, 0, 0, 1, 0, 1, 0, 0, 
272, 2.291453e+01, 1.555511e+01, 7.342939e-01, 278, 272, 1, 1.860971e+01, 9.784173e-01, 6.121320e+01, 1.898558e+00, 7.117647e+00, 4.596912e+02, 0, 0, 1, 0, 1, 0, 0, 
480, 3.622265e+01, 1.762411e+01, 8.736531e-01, 494, 480, 1, 2.472155e+01, 9.716599e-01, 8.994113e+01, 1.973587e+00, 8.514583e+00, 7.735500e+02, 0, 0, 1, 0, 1, 0, 0, 
243, 3.656348e+01, 9.330528e+00, 9.668917e-01, 259, 243, 1, 1.758969e+01, 9.382239e-01, 8.038478e+01, 9.444572e-01, 4.226337e+00, 8.322634e+02, 0, 0, 1, 0, 1, 0, 0, 
217, 2.805595e+01, 1.119900e+01, 9.168783e-01, 267, 217, 1, 1.662206e+01, 8.127341e-01, 7.394113e+01, 5.944915e-01, 1.718894e+01, 8.819355e+02, 0, 0, 1, 0, 1, 0, 0, 
493, 3.232769e+01, 1.979174e+01, 7.906857e-01, 534, 493, 1, 2.505408e+01, 9.232210e-01, 9.408326e+01, 2.318761e+00, 2.731237e+01, 9.155659e+02, 0, 0, 0, 0, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.273594e-03, 20, 993, 0, 0, 0, 0, 0, 1, 0, 
15, 5.966166e+00, 3.527098e+00, 8.065373e-01, 16, 15, 1, 4.370194e+00, 9.375000e-01, 1.307107e+01, 3.642329e-02, 2.373333e+01, 9.906000e+02, 0, 0, 0, 0, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.319371e-03, 23, 1003, 0, 0, 0, 0, 0, 1, 0, 
35, 7.551179e+00, 6.148688e+00, 5.804881e-01, 38, 35, 1, 6.675581e+00, 9.210526e-01, 2.048528e+01, 9.336995e-02, 2.880000e+01, 864, 0, 0, 0, 0, 1, 0, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.577707e-03, 28, 4.965000e+02, 0, 0, 0, 0, 0, 1, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.669261e-03, 28, 9.875000e+02, 0, 0, 0, 0, 0, 1, 0, 
9, 4.952447e+00, 2.715603e+00, 8.362583e-01, 10, 9, 1, 3.385138e+00, 9.000000e-01, 9.656854e+00, 2.159152e-02, 2.922222e+01, 9.978889e+02, 0, 0, 0, 0, 1, 0, 0, 
4, 3.586706e+00, 2.191393e+00, 7.916487e-01, 5, 4, 1, 2.256758e+00, 8.000000e-01, 6.242641e+00, 9.460594e-03, 3.050000e+01, 9.902500e+02, 0, 0, 0, 0, 0, 1, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.608225e-03, 31, 4.965000e+02, 0, 0, 0, 0, 0, 1, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.592966e-03, 31, 9.935000e+02, 0, 0, 0, 0, 0, 1, 0, 
14, 6.110101e+00, 3.286749e+00, 8.429955e-01, 16, 14, 1, 4.222008e+00, 8.750000e-01, 1.282843e+01, 3.370718e-02, 3.378571e+01, 4.975714e+02, 0, 0, 0, 0, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.349889e-03, 35, 494, 0, 0, 0, 0, 0, 1, 0, 
